Extracted Sorting ID 072826,Cage Card 072826,DOB 072826,Sex 072826,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
545,CC-24051-5,10/1/2025,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,2,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/2025,,MALE,545,,4,4,YES,7/13/2026 3:57pm,W-4813,
547,CC-24576-4,10/25/2025,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,4,1,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 547 548 549 551 Created 7/13/2026 3:57pm W-4982 • CC-24576-4 • External ID:,CENSUS,X6-041,11/15/2025,,FEMALE,547,,4,4,YES,7/13/2026 3:57pm,W-4982,
548,CC-24576-4,10/25/2025,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,4,1,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 547 548 549 551 Created 7/13/2026 3:57pm W-4982 • CC-24576-4 • External ID:,CENSUS,X6-041,11/15/2025,,FEMALE,548,,4,4,YES,7/13/2026 3:57pm,W-4982,
549,CC-24576-4,10/25/2025,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,4,1,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 547 548 549 551 Created 7/13/2026 3:57pm W-4982 • CC-24576-4 • External ID:,CENSUS,X6-041,11/15/2025,,FEMALE,549,,4,4,YES,7/13/2026 3:57pm,W-4982,
551,CC-24576-4,10/25/2025,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,4,1,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 547 548 549 551 Created 7/13/2026 3:57pm W-4982 • CC-24576-4 • External ID:,CENSUS,X6-041,11/15/2025,,FEMALE,551,,4,4,YES,7/13/2026 3:57pm,W-4982,
556,CC-24575-7,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,3,3,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 571 572 573 556 Created 7/13/2026 3:57pm W-4982 • CC-24575-7 • External ID:,CENSUS,X6-041,11/15/2025,,MALE,556,,4,4,YES,7/13/2026 3:57pm,W-4982,
557,CC-26360-3,,,,557 (former breeder),5,2,X6-041 Species MOUSE # Animals 1 P.I. Barry J. M DOB F DOB Breeding Date Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) F Strain (ID) Notes 557 (former breeder) Created 7/13/2026 3:57pm SPLIT-5973 • CC-26360-3 • External ID:,BREEDER,X6-041,,Emergency,,557,,1,1,YES,7/13/2026 3:57pm,SPLIT-5973,
558,CC-25203-5,11/27/2025,FEMALE,Kcnt1-YH;PV-Cre,558 | 559,4,2,X6-041 Species MOUSE # Animals 2 Census 12/18/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 558 559 Created 7/13/2026 3:57pm W-5191 • CC-25203-5 • External ID:,CENSUS,X6-041,12/18/2025,,FEMALE,558,,2,2,YES,7/13/2026 3:57pm,W-5191,
559,CC-25203-5,11/27/2025,FEMALE,Kcnt1-YH;PV-Cre,558 | 559,4,2,X6-041 Species MOUSE # Animals 2 Census 12/18/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 558 559 Created 7/13/2026 3:57pm W-5191 • CC-25203-5 • External ID:,CENSUS,X6-041,12/18/2025,,FEMALE,559,,2,2,YES,7/13/2026 3:57pm,W-5191,
560,CC-25204-3,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,4,3,X6-041 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 560 561 562 Created 7/13/2026 3:57pm W-5191 • CC-25204-3 • External ID:,CENSUS,X6-041,12/18/2025,,MALE,560,,3,3,YES,7/13/2026 3:57pm,W-5191,
561,CC-25204-3,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,4,3,X6-041 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 560 561 562 Created 7/13/2026 3:57pm W-5191 • CC-25204-3 • External ID:,CENSUS,X6-041,12/18/2025,,MALE,561,,3,3,YES,7/13/2026 3:57pm,W-5191,
562,CC-25204-3,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,4,3,X6-041 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 560 561 562 Created 7/13/2026 3:57pm W-5191 • CC-25204-3 • External ID:,CENSUS,X6-041,12/18/2025,,MALE,562,,3,3,YES,7/13/2026 3:57pm,W-5191,
565,CC-28386-2,11/27/2025,M,kcnt1-YH; PV-Cre,565 (former breeder),9,3,X6-041 Species MOUSE # Animals 1 Census 05/22/26 Sex M P.I. Barry J. Strain kcnt1-YH; PV-Cre Code DOB 11/27/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 565 (former breeder) Created 7/13/2026 3:57pm SPLIT-6809 • CC-28386-2 • External ID:,CENSUS,X6-041,5/22/2026,,MALE,565,,1,1,YES,7/13/2026 3:57pm,SPLIT-6809,
566,CC-25205-4,11/27/2025,MALE,Kcnt1-YH;PV-Cre,566 | 567,5,1,X6-041 Species MOUSE # Animals 2 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 566 567 Created 7/13/2026 3:57pm W-5191 • CC-25205-4 • External ID:,CENSUS,X6-041,12/18/2025,,MALE,566,,2,2,YES,7/13/2026 3:57pm,W-5191,
567,CC-25205-4,11/27/2025,MALE,Kcnt1-YH;PV-Cre,566 | 567,5,1,X6-041 Species MOUSE # Animals 2 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 566 567 Created 7/13/2026 3:57pm W-5191 • CC-25205-4 • External ID:,CENSUS,X6-041,12/18/2025,,MALE,567,,2,2,YES,7/13/2026 3:57pm,W-5191,
571,CC-24575-7,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,3,3,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 571 572 573 556 Created 7/13/2026 3:57pm W-4982 • CC-24575-7 • External ID:,CENSUS,X6-041,11/15/2025,,MALE,571,,4,4,YES,7/13/2026 3:57pm,W-4982,
572,CC-24575-7,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,3,3,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 571 572 573 556 Created 7/13/2026 3:57pm W-4982 • CC-24575-7 • External ID:,CENSUS,X6-041,11/15/2025,,MALE,572,,4,4,YES,7/13/2026 3:57pm,W-4982,
573,CC-24575-7,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,3,3,X6-041 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329x302 571 572 573 556 Created 7/13/2026 3:57pm W-4982 • CC-24575-7 • External ID:,CENSUS,X6-041,11/15/2025,,MALE,573,,4,4,YES,7/13/2026 3:57pm,W-4982,
577,CC-23782-9,9/14/2025,M,Kcnt1YH; SST-Cre,329 (M) x 302 (F) | 577 (previously 534),2,1,X6-041 Species MOUSE # Animals 1 Census 10/06/25 Sex M P.I. Barry J. Strain Kcnt1YH; SST-Cre Code DOB 9/14/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 329 (M) x 302 (F) 577 (previously 534) Created 7/13/2026 3:57pm • CC-23782-9 • External ID:,CENSUS,X6-041,10/6/2025,,MALE,577,534,1,1,YES,7/13/2026 3:57pm,,
579,CC-28885-2,3/14/2026,FEMALE,Kcnt1-YH;PV-Cre,1607(M)(previously 586) x 579(F),13,1,X6-041 Species MOUSE # Animals 2 P.I. Barry J. M DOB 03/14/26 F DOB 03/14/26 Breeding Date 06/15/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) 1607 Kcnt1-YH;PV-Cre F Strain (ID) 579 Kcnt1-YH;PV-Cre Notes 1607(M)(previously 586) x 579(F) Created 7/13/2026 3:57pm SPLIT-6970 • CC-28885-2 • External ID:,BREEDER,X6-041,,6/15/2026,FEMALE,579,,2,2,YES,7/13/2026 3:57pm,SPLIT-6970,
580,CC-27241-3,3/14/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 580,6,3,X6-041 Species MOUSE # Animals 1 Census 04/04/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 565 (M) x 557 (F) 580 Created 7/13/2026 3:57pm W-5844 • CC-27241-3 • External ID:,CENSUS,X6-041,4/4/2026,,FEMALE,580,,1,1,YES,7/13/2026 3:57pm,W-5844,
583,CC-27240-6,3/14/2026,MALE,Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1608 (previously 581),6,2,X6-041 Species MOUSE # Animals 3 Census 04/04/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 565 (M) x 557 (F) 583 584 1608 (previously 581) Created 7/13/2026 3:57pm W-5844 • CC-27240-6 • External ID:,CENSUS,X6-041,4/4/2026,,MALE,583,,3,3,YES,7/13/2026 3:57pm,W-5844,
584,CC-27240-6,3/14/2026,MALE,Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1608 (previously 581),6,2,X6-041 Species MOUSE # Animals 3 Census 04/04/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 565 (M) x 557 (F) 583 584 1608 (previously 581) Created 7/13/2026 3:57pm W-5844 • CC-27240-6 • External ID:,CENSUS,X6-041,4/4/2026,,MALE,584,,3,3,YES,7/13/2026 3:57pm,W-5844,
588,CC-29613-1,4/6/2026,FEMALE,Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 588,15,1,X6-041 Species MOUSE # Animals 1 Census 07/21/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 565 (M) x 557 (F) 588 Created 7/21/2026 12:45pm SPLIT-7307 • CC-29613-1 • External ID:,CENSUS,X6-041,7/21/2026,,FEMALE,588,,1,1,YES,7/21/2026 12:45pm,SPLIT-7307,
591,CC-28501-2,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 591,10,2,X6-041 Species MOUSE # Animals 1 Census 05/28/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 565 (M) x 557 (F) 591 Created 7/13/2026 3:57pm SPLIT-6853 • CC-28501-2 • External ID:,CENSUS,X6-041,5/28/2026,,FEMALE,591,,1,1,YES,7/13/2026 3:57pm,SPLIT-6853,
594,CC-27734-4,4/6/2026,MALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 594 | 595,8,1,X6-041 Species MOUSE # Animals 2 Census 04/27/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 565 (M) x 557 (F) 594 595 Created 7/13/2026 3:57pm W-6039 • CC-27734-4 • External ID:,CENSUS,X6-041,4/27/2026,,MALE,594,,2,2,YES,7/13/2026 3:57pm,W-6039,
595,CC-27734-4,4/6/2026,MALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 594 | 595,8,1,X6-041 Species MOUSE # Animals 2 Census 04/27/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 565 (M) x 557 (F) 594 595 Created 7/13/2026 3:57pm W-6039 • CC-27734-4 • External ID:,CENSUS,X6-041,4/27/2026,,MALE,595,,2,2,YES,7/13/2026 3:57pm,W-6039,
597,CC-28080-4,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,8,3,X6-041 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 7/13/2026 3:57pm W-6131 • CC-28080-4 • External ID:,CENSUS,X6-041,5/9/2026,,FEMALE,597,,3,3,YES,7/13/2026 3:57pm,W-6131,
598,CC-28080-4,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,8,3,X6-041 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 7/13/2026 3:57pm W-6131 • CC-28080-4 • External ID:,CENSUS,X6-041,5/9/2026,,FEMALE,598,,3,3,YES,7/13/2026 3:57pm,W-6131,
599,CC-28080-4,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,8,3,X6-041 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 7/13/2026 3:57pm W-6131 • CC-28080-4 • External ID:,CENSUS,X6-041,5/9/2026,,FEMALE,599,,3,3,YES,7/13/2026 3:57pm,W-6131,
1600,CC-28884-2,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,1602 (M) x 1600 (F),12,3,X6-041 Species MOUSE # Animals 2 P.I. Barry J. M DOB 04/18/26 F DOB 04/18/26 Breeding Date 06/15/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) 1602 Kcnt1-YH;SST F Strain (ID) 1600 Kcnt1-YH; SST-cre Notes 1602 (M) x 1600 (F) Created 7/13/2026 3:57pm SPLIT-6969 • CC-28884-2 • External ID:,BREEDER,X6-041,,6/15/2026,FEMALE,1600,,2,2,YES,7/13/2026 3:57pm,SPLIT-6969,
1602,CC-28884-2,4/18/2026,MALE,Kcnt1-YH;SST,1602 (M) x 1600 (F),12,3,X6-041 Species MOUSE # Animals 2 P.I. Barry J. M DOB 04/18/26 F DOB 04/18/26 Breeding Date 06/15/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) 1602 Kcnt1-YH;SST F Strain (ID) 1600 Kcnt1-YH; SST-cre Notes 1602 (M) x 1600 (F) Created 7/13/2026 3:57pm SPLIT-6969 • CC-28884-2 • External ID:,BREEDER,X6-041,,6/15/2026,MALE,1602,,2,2,YES,7/13/2026 3:57pm,SPLIT-6969,
