Extracted Sorting ID 062226,Cage Card 062226,DOB 062226,Sex 062226,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
542,CC-24051-4,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,3,2,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 12/12/2025 2:06pm W-4813 • CC-24051-4 • External ID:,CENSUS,X0-145,10/22/25,,MALE,542,,4,4,YES,12/12/2025 2:06pm,W-4813,
543,CC-24051-4,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,3,2,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 12/12/2025 2:06pm W-4813 • CC-24051-4 • External ID:,CENSUS,X0-145,10/22/25,,MALE,543,,4,4,YES,12/12/2025 2:06pm,W-4813,
544,CC-24051-4,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,3,2,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 12/12/2025 2:06pm W-4813 • CC-24051-4 • External ID:,CENSUS,X0-145,10/22/25,,MALE,544,,4,4,YES,12/12/2025 2:06pm,W-4813,
545,CC-24051-4,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,3,2,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 12/12/2025 2:06pm W-4813 • CC-24051-4 • External ID:,CENSUS,X0-145,10/22/25,,MALE,545,,4,4,YES,12/12/2025 2:06pm,W-4813,
546,CC-27096-2,10/25/25,F,KCNT1; SST-Cre,546 (former breeder),8,1,X0-145 Species MOUSE # Animals 1 Census 03/24/26 Sex F P.I. Barry J. Strain KCNT1; SST-Cre Code DOB 10/25/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 546 (former breeder) Created 6/1/2026 3:04pm SPLIT-6268 • CC-27096-2 • External ID:,CENSUS,X0-145,03/24/26,,FEMALE,546,,1,1,YES,6/1/2026 3:04pm,SPLIT-6268,
547,CC-24576-3,2025-10-25,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,5,1,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 547 548 549 551 Created 3/24/2026 2:56pm W-4982 • CC-24576-3 • External ID:,CENSUS,X0-145,11/15/25,,FEMALE,547,,4,4,YES,3/24/2026 2:56pm,W-4982,
548,CC-24576-3,2025-10-25,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,5,1,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 547 548 549 551 Created 3/24/2026 2:56pm W-4982 • CC-24576-3 • External ID:,CENSUS,X0-145,11/15/25,,FEMALE,548,,4,4,YES,3/24/2026 2:56pm,W-4982,
549,CC-24576-3,2025-10-25,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,5,1,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 547 548 549 551 Created 3/24/2026 2:56pm W-4982 • CC-24576-3 • External ID:,CENSUS,X0-145,11/15/25,,FEMALE,549,,4,4,YES,3/24/2026 2:56pm,W-4982,
551,CC-24576-3,2025-10-25,FEMALE,FID: Kcnt1-YH; SST-cre (het),329x302 | 547 | 548 | 549 | 551,5,1,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 547 548 549 551 Created 3/24/2026 2:56pm W-4982 • CC-24576-3 • External ID:,CENSUS,X0-145,11/15/25,,FEMALE,551,,4,4,YES,3/24/2026 2:56pm,W-4982,
556,CC-24575-6,2025-10-25,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,4,3,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:,CENSUS,X0-145,11/15/25,,MALE,556,,4,4,YES,3/24/2026 2:56pm,W-4982,
557,CC-26360-2,11/27/25,F,Kcnt1-YH; PV-Cre,557 (former breeder),7,1,X0-145 Species MOUSE # Animals 1 Census 02/18/26 Sex F P.I. Barry J. Strain Kcnt1-YH; PV-Cre Code DOB 11/27/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 557 (former breeder) Created 5/22/2026 1:46pm SPLIT-5973 • CC-26360-2 • External ID:,CENSUS,X0-145,02/18/26,,FEMALE,557,,1,1,YES,5/22/2026 1:46pm,SPLIT-5973,
558,CC-25203-4,11/27/2025,FEMALE,Kcnt1-YH;PV-Cre,558 | 559,6,1,X0-145 Species MOUSE # Animals 2 Census 12/18/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 558 559 Created 2/18/2026 4:41pm W-5191 • CC-25203-4 • External ID:,CENSUS,X0-145,12/18/25,,FEMALE,558,,2,2,YES,2/18/2026 4:41pm,W-5191,
559,CC-25203-4,11/27/2025,FEMALE,Kcnt1-YH;PV-Cre,558 | 559,6,1,X0-145 Species MOUSE # Animals 2 Census 12/18/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 558 559 Created 2/18/2026 4:41pm W-5191 • CC-25203-4 • External ID:,CENSUS,X0-145,12/18/25,,FEMALE,559,,2,2,YES,2/18/2026 4:41pm,W-5191,
560,CC-25204-2,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,6,2,X0-145 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 560 561 562 Created 12/19/2025 2:41pm W-5191 • CC-25204-2 • External ID:,CENSUS,X0-145,12/18/25,,MALE,560,,3,3,YES,12/19/2025 2:41pm,W-5191,
561,CC-25204-2,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,6,2,X0-145 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 560 561 562 Created 12/19/2025 2:41pm W-5191 • CC-25204-2 • External ID:,CENSUS,X0-145,12/18/25,,MALE,561,,3,3,YES,12/19/2025 2:41pm,W-5191,
562,CC-25204-2,11/27/2025,MALE,Kcnt1-YH;PV-Cre,560 | 561 | 562,6,2,X0-145 Species MOUSE # Animals 3 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 560 561 562 Created 12/19/2025 2:41pm W-5191 • CC-25204-2 • External ID:,CENSUS,X0-145,12/18/25,,MALE,562,,3,3,YES,12/19/2025 2:41pm,W-5191,
565,CC-28386-1,11/27/25,M,kcnt1-YH; PV-Cre,565 (former breeder),13,1,X0-145 Species MOUSE # Animals 1 Census 05/22/26 Sex M P.I. Barry J. Strain kcnt1-YH; PV-Cre Code DOB 11/27/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (former breeder) Created 5/22/2026 1:46pm SPLIT-6809 • CC-28386-1 • External ID:,CENSUS,X0-145,05/22/26,,MALE,565,,1,1,YES,5/22/2026 1:46pm,SPLIT-6809,
566,CC-25205-3,11/27/2025,MALE,Kcnt1-YH;PV-Cre,566 | 567,6,3,X0-145 Species MOUSE # Animals 2 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 566 567 Created 2/18/2026 4:41pm W-5191 • CC-25205-3 • External ID:,CENSUS,X0-145,12/18/25,,MALE,566,,2,2,YES,2/18/2026 4:41pm,W-5191,
567,CC-25205-3,11/27/2025,MALE,Kcnt1-YH;PV-Cre,566 | 567,6,3,X0-145 Species MOUSE # Animals 2 Census 12/18/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 11/27/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 566 567 Created 2/18/2026 4:41pm W-5191 • CC-25205-3 • External ID:,CENSUS,X0-145,12/18/25,,MALE,567,,2,2,YES,2/18/2026 4:41pm,W-5191,
571,CC-24575-6,2025-10-25,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,4,3,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:,CENSUS,X0-145,11/15/25,,MALE,571,,4,4,YES,3/24/2026 2:56pm,W-4982,
572,CC-24575-6,2025-10-25,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,4,3,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:,CENSUS,X0-145,11/15/25,,MALE,572,,4,4,YES,3/24/2026 2:56pm,W-4982,
573,CC-24575-6,2025-10-25,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,4,3,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:,CENSUS,X0-145,11/15/25,,MALE,573,,4,4,YES,3/24/2026 2:56pm,W-4982,
