# Jarvis Panorama -- convergence -- Untitled set -- 3 recordings -- 2-200 Hz -- dominant by peak -- one vote per recording -- taken 2026-09-15T19:20:18
gid,recording,group,f_lo,f_hi,count,density
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,47.427474,52.203144,,0.001084947
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,52.203144,57.459697,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,57.459697,63.245553,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,63.245553,69.614012,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,69.614012,76.623737,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,76.623737,84.339301,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,84.339301,92.831777,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,92.831777,102.179395,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,102.179395,112.468265,,0.028704493
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,112.468265,123.793164,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,123.793164,136.258414,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,136.258414,149.978842,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,149.978842,165.080837,,0.045974092
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,165.080837,181.703515,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,181.703515,200.0,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,2.0,2.201388,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,2.201388,2.423055,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,2.423055,2.667043,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,2.667043,2.935599,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,2.935599,3.231196,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,3.231196,3.556559,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,3.556559,3.914684,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,3.914684,4.308869,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,4.308869,4.742747,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,4.742747,5.220314,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,5.220314,5.74597,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,5.74597,6.324555,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,6.324555,6.961401,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,6.961401,7.662374,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,7.662374,8.43393,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,8.43393,9.283178,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,9.283178,10.21794,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,10.21794,11.246827,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,11.246827,12.379316,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,12.379316,13.625841,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,13.625841,14.997884,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,14.997884,16.508084,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,16.508084,18.170352,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,18.170352,20.0,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,20.0,22.013883,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,22.013883,24.230553,,0.002337447
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,24.230553,26.670429,,0.002123611
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,26.670429,29.355985,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,29.355985,32.311962,,0.003505675
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,32.311962,35.565588,,0.003184968
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,35.565588,39.146836,,0.008680797
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,39.146836,43.088694,,0.031546628
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,43.088694,47.427474,,0.021495499
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,47.427474,52.203144,,0.018444092
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,52.203144,57.459697,,0.01281401
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,57.459697,63.245553,,0.001791039
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,63.245553,69.614012,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,69.614012,76.623737,,0.000739166
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,76.623737,84.339301,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,84.339301,92.831777,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,92.831777,102.179395,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,102.179395,112.468265,,0.005035876
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,112.468265,123.793164,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,123.793164,136.258414,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,136.258414,149.978842,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,149.978842,165.080837,,0.032936663
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,165.080837,181.703515,,0.0
s5b932a8e933d,PTEN m1 s8 2023-10-05,PTEN,181.703515,200.0,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,2.0,2.201388,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,2.201388,2.423055,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,2.423055,2.667043,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,2.667043,2.935599,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,2.935599,3.231196,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,3.231196,3.556559,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,3.556559,3.914684,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,3.914684,4.308869,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,4.308869,4.742747,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,4.742747,5.220314,,0.021698932
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,5.220314,5.74597,,0.019713861
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,5.74597,6.324555,,0.035820779
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,6.324555,6.961401,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,6.961401,7.662374,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,7.662374,8.43393,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,8.43393,9.283178,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,9.283178,10.21794,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,10.21794,11.246827,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,11.246827,12.379316,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,12.379316,13.625841,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,13.625841,14.997884,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,14.997884,16.508084,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,16.508084,18.170352,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,18.170352,20.0,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,20.0,22.013883,,0.002572814
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,22.013883,24.230553,,0.004674893
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,24.230553,26.670429,,0.021236113
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,26.670429,29.355985,,0.017364044
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,29.355985,32.311962,,0.02278689
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,32.311962,35.565588,,0.014332354
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,35.565588,39.146836,,0.023148793
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,39.146836,43.088694,,0.082809897
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,43.088694,47.427474,,0.028660666
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,47.427474,52.203144,,0.026038718
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,52.203144,57.459697,,0.005914158
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,57.459697,63.245553,,0.001791039
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,63.245553,69.614012,,0.003254381
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,69.614012,76.623737,,0.000739166
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,76.623737,84.339301,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,84.339301,92.831777,,0.00061011
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,92.831777,102.179395,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,102.179395,112.468265,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,112.468265,123.793164,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,123.793164,136.258414,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,136.258414,149.978842,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,149.978842,165.080837,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,165.080837,181.703515,,0.0
s79ba9ba163c4,PTEN m2 s3 2024-01-23,CTL,181.703515,200.0,,0.0
